Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,Authority,Hub,pageranks
assemblr edu,,6,6,5,0.374039,0.400076,41.310242,3,0,0.037964,0.037964,0.00133
bentuk molekul,,3,3,5,0.342723,0.363128,8.94455,1,0,0.013314,0.013315,0.000854
wacana,,3,3,5,0.295746,0.311454,7.70762,5,0,0.003366,0.003366,0.000949
refleksi,,6,6,5,0.339535,0.363432,61.75911,0,0,0.016934,0.016934,0.001377
toleransi beragama,,3,3,5,0.30976,0.324125,6.594543,3,0,0.004562,0.004562,0.000921
asam basa,,3,3,5,0.311744,0.328539,5.303472,0,0,0.007155,0.007155,0.000854
bahan ajar,,13,13,5,0.354082,0.384589,348.987726,0,0,0.022822,0.022822,0.002845
asean,,5,5,5,0.350962,0.37675,19.402925,0,0,0.024929,0.024929,0.001192
harga diri,,10,10,5,0.312411,0.336606,913.162473,2,0,0.004081,0.004081,0.003118
proklamasi kemerdekaan indonesia,,5,5,5,0.347068,0.372565,69.782411,0,0,0.022561,0.022561,0.001209
wizer.me,,4,4,6,0.282216,0.302435,3.840253,0,0,0.005732,0.005732,0.001077
asrama,,5,5,5,0.294751,0.311454,108.795633,2,0,0.001633,0.001633,0.001692
indekos,,5,5,5,0.283312,0.300342,30.166145,2,0,0.00172,0.00172,0.001571
konsep diri,,3,3,5,0.261337,0.274201,71.883646,5,0,0.000476,0.000476,0.001363
rumah,,5,5,5,0.295347,0.312139,47.751273,2,0,0.001691,0.001691,0.001585
persaudaraan,,6,6,5,0.357551,0.381431,5.004683,2,0,0.019194,0.019194,0.001457
puisi,,10,10,4,0.375321,0.403158,324.795318,6,0,0.028778,0.028778,0.002232
fotosintesis,,7,7,5,0.371186,0.398174,47.747613,1,0,0.032283,0.032283,0.001513
autonomi,,5,5,5,0.328582,0.35019,29.016806,5,0,0.012407,0.012407,0.001235
bahan ajar tambahan,,10,10,4,0.364696,0.391743,97.906598,5,0,0.026448,0.026447,0.002146
gamifikasi,,4,4,5,0.319009,0.337405,9.143559,5,0,0.006133,0.006133,0.001063
kecerdasan majemuk,,3,3,5,0.341121,0.361796,10.507357,3,0,0.016704,0.016704,0.000832
pembelajaran berbasis tugas,,4,4,5,0.313305,0.331431,1.970405,5,0,0.00814,0.00814,0.001059
ramah lingkungan,,4,4,5,0.356678,0.379148,0.236111,3,0,0.024901,0.024901,0.000948
bahasa inggris,,3,3,5,0.304167,0.321842,1.045455,5,0,0.004035,0.004035,0.000981
